UID,Start Time,Start Lat,Start Long,Stop Time,Stop Lat,Stop Long
84411090,24/04/2019 14:48:09,42.66,-33.776,24/04/2019 14:50:17,37.8448,-25.4247
d42aeda0,24/04/2019 14:52:18,32.769,-18.6117,24/04/2019 14:54:26,26.9859,-12.2879
ba0cbd34,24/04/2019 14:56:27,21.2471,-6.951,24/04/2019 14:58:36,14.9524,-1.7703
c1e349e1,24/04/2019 15:00:36,8.9057,2.7998,24/04/2019 15:02:45,2.418,7.4691
c6a6b15b,24/04/2019 15:04:46,-3.7155,11.8217,24/04/2019 15:06:54,-10.1952,16.5187
5636e1f6,24/04/2019 15:08:55,-16.2184,21.137,24/04/2019 15:11:03,-22.464,26.3901
6c53d2e6,24/04/2019 15:13:04,-28.1415,31.8264,24/04/2019 15:15:12,-33.8492,38.3051
2a2084af,24/04/2019 15:17:13,-38.8166,45.2881,24/04/2019 15:19:21,-43.4848,53.8569
8b11fd6c,24/04/2019 15:21:22,-47.1223,63.1868,24/04/2019 15:23:30,-49.9332,74.4357
096c10b6,24/04/2019 15:25:31,-51.378,86.0462,24/04/2019 15:27:39,-51.4818,98.7787
ece49b81,24/04/2019 15:29:40,-50.2231,110.4894,24/04/2019 15:31:48,-47.5875,121.8954
8a031018,24/04/2019 15:33:49,-44.0792,131.4112,24/04/2019 15:35:57,-39.5166,140.1602
de17650d,24/04/2019 15:37:58,-34.6197,147.2903,24/04/2019 15:40:06,-28.9806,153.8752
a6ca20c2,24/04/2019 15:42:07,-23.3437,159.395,24/04/2019 15:44:15,-17.1258,164.7132
dbfdd47a,24/04/2019 15:46:16,-11.1213,169.3695,24/04/2019 15:48:24,-4.6757,174.0706
fe0b7ddc,24/04/2019 15:50:24,1.4543,178.4246,24/04/2019 15:52:33,7.9503,-176.9207
ec52120d,24/04/2019 15:54:34,14.0093,-172.3861,24/04/2019 15:56:42,20.3197,-167.2719
c197be98,24/04/2019 15:58:43,26.0883,-162.0208,24/04/2019 16:00:51,31.9341,-155.8023
f36d7415,24/04/2019 16:02:52,37.0741,-149.1368,24/04/2019 16:05:00,41.973,-141.0016
982f67f3,24/04/2019 16:07:01,45.9105,-132.1043,24/04/2019 16:09:09,49.1244,-121.2723
72a448ab,24/04/2019 16:11:10,51.0116,-109.9245,24/04/2019 16:13:18,51.6136,-97.2016
6d2744f1,24/04/2019 16:15:19,50.8029,-85.2652,24/04/2019 16:17:27,48.5681,-73.4081
7c78c2a6,24/04/2019 16:19:28,45.3609,-63.4352,24/04/2019 16:21:36,41.0346,-54.2289
